From-To;Pixel
101;189647
102;61558
103;37005
104;103103
105;64244
106;4764
107;10
201;104756
202;135159
203;43402
204;94839
205;24515
206;2266
207;8
301;25227
302;50390
303;40304
304;18540
305;1590
306;330
307;5
401;92104
402;46621
403;9188
404;110334
405;91763
406;15983
407;131
501;117461
502;69043
503;2492
504;81441
505;1388282
506;451438
507;573
601;26790
602;8429
603;1117
604;15495
605;297261
606;350326
607;764
701;215
702;60
703;159
704;151
705;8446
706;4250
707;34827
