Class name;Producer Accuracy;Consumer Accuracy
Informal;84.85;93.33
Formal;92.86;86.67
Industrial;73.53;83.33
Roads;100.0;70.0
Vacant land;88.24;100.0
Vegetation;93.33;93.33
Water-bodies;93.33;93.33
