Class name;Producer Accuracy;Consumer Accuracy
Informal;60.0;70.0
Formal;55.56;66.67
Industrial;79.31;76.67
Roads;60.0;50.0
Vacant land;68.57;80.0
Vegetation;100.0;86.67
Water-bodies;100.0;40.0
